match_id,round,team,opponent,team_score,opponent_score,result,decided_by,possession_pct,source
M01,Group stage,Argentina,Algeria,3,0,W,Regulation,47.8,Sky Sports match centre
M01,Group stage,Algeria,Argentina,0,3,L,Regulation,52.2,Sky Sports match centre
M02,Round of 32,Spain,Austria,3,0,W,Regulation,65.0,TNT Sports / Sky Sports match centre
M02,Round of 32,Austria,Spain,0,3,L,Regulation,35.0,TNT Sports / Sky Sports match centre
M03,Round of 32,Germany,Paraguay,1,1,L,Penalties,75.6,Sky Sports match centre (Paraguay won 4-3 on pens)
M03,Round of 32,Paraguay,Germany,1,1,W,Penalties,24.4,Sky Sports match centre (Paraguay won 4-3 on pens)
M04,Round of 16,Canada,Morocco,0,3,L,Regulation,44.0,Freepressjournal / match report
M04,Round of 16,Morocco,Canada,3,0,W,Regulation,56.0,Freepressjournal / match report
M05,Round of 16,Brazil,Norway,1,2,L,Regulation,35.0,TNT Sports match centre
M05,Round of 16,Norway,Brazil,2,1,W,Regulation,65.0,TNT Sports match centre
M06,Round of 16,Argentina,Egypt,3,2,W,Regulation,64.0,TNT Sports match centre
M06,Round of 16,Egypt,Argentina,2,3,L,Regulation,36.0,TNT Sports match centre
M07,Quarter-final,Spain,Belgium,2,1,W,Regulation,67.9,Sky Sports match centre
M07,Quarter-final,Belgium,Spain,1,2,L,Regulation,32.1,Sky Sports match centre
M08,Semi-final,France,Spain,0,2,L,Regulation,51.0,AP wire recap (full-match stat)
M08,Semi-final,Spain,France,2,0,W,Regulation,49.0,AP wire recap (full-match stat)
M09,Semi-final,Argentina,England,2,1,W,Regulation,64.2,Sky Sports match centre
M09,Semi-final,England,Argentina,1,2,L,Regulation,35.8,Sky Sports match centre
M10,Third-place playoff,France,England,4,6,L,Regulation,45.9,Sky Sports match centre
M10,Third-place playoff,England,France,6,4,W,Regulation,54.1,Sky Sports match centre
M11,Final,Spain,Argentina,1,0,W,Extra time,60.0,Northeastern Univ. news recap
M11,Final,Argentina,Spain,0,1,L,Extra time,40.0,Northeastern Univ. news recap
M12,Round of 16,Mexico,England,2,3,L,Regulation,66.9,Sky Sports match centre
M12,Round of 16,England,Mexico,3,2,W,Regulation,33.1,Sky Sports match centre
M13,Quarter-final,Argentina,Switzerland,3,1,W,Extra time,59.0,Sky Sports match centre
M13,Quarter-final,Switzerland,Argentina,1,3,L,Extra time,41.0,Sky Sports match centre
M14,Quarter-final,Norway,England,1,2,L,Extra time,47.6,Sky Sports match centre
M14,Quarter-final,England,Norway,2,1,W,Extra time,52.4,Sky Sports match centre
M15,Round of 32,Netherlands,Morocco,1,1,L,Penalties,29.9,Sky Sports match centre (Morocco won 3-2 on pens)
M15,Round of 32,Morocco,Netherlands,1,1,W,Penalties,70.1,Sky Sports match centre (Morocco won 3-2 on pens)
